Section	Item Type	Date	Title	Author	Link	Tags	Teaser
Quotes	Quotation	2007-04-10 15:11:35	Wriggling	E. M. Forster	quotes/wriggling.html	individuals	Failure or success seem to have been allotted to men by their stars. But they retain the power of wriggling, of fighting with their star or against it, and in the whole universe the only really interesting movement is this wriggle.
Quotes	Quotation	2009-04-02 19:50:16	The Makers of Things	Barack Obama	quotes/the-makers-of-things.html	cultural evolution, individuals, progress	In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted -- for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things -- some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.
Quotes	Quotation	2011-08-01 12:42:03	ESPN president meets Steve Jobs	Tom Shales and James Andrew Miller	quotes/espn-president-meets-steve-jobs.html	critical thinking, equality	The story goes that ESPN president George Bodenheimer attended the first Disney board meeting in Orlando, Florida, just after the company had bought Pixar, the innovative animation factory, and spotted Apple CEO Steve Jobs in a hallway. It seemed like a good time to introduce himself. "I am George Bodenheimer," he said to Jobs. "I run ESPN." Jobs just looked at him and said nothing other than "Your phone is the dumbest fucking idea I have ever heard," then turned and walked away.
Quotes	Quotation	2019-02-17 11:40:20	The Most Precious Kind of Freedom	David Foster Wallace	quotes/the-most-precious-kind-of-freedom.html	liberty	But there are all different kinds of freedom, and the kind that is most precious you will not hear much talked about in the great outside world of winning and achieving and displaying. The really important kind of freedom involves attention, and awareness, and discipline, and effort, and being able truly to care about other people and to sacrifice for them, over and over, in myriad petty little unsexy ways, every day. That is real freedom. The alternative is unconsciousness, the default setting, the "rat race" -- the constant gnawing sense of having had and lost some infinite thing.
Quotes	Quotation	2018-12-06 18:06:16	The welfare of the whole human race	Arnold J. Toynbee	quotes/the-welfare-of-the-whole-human-race.html	mission, society	The twentieth century will be chiefly remembered by future generations not as an era of political conflicts or technical inventions, but as an age in which human society dared to think of the welfare of the whole human race as a practical objective. 
Quotes	Quotation	2006-11-30 14:29:31	The Arc of History	Martin Luther King Jr.	quotes/the-arc-of-history.html	cultural evolution, equality	The arc of history is long, but it bends towards justice.
Quotes	Quotation	2008-07-30 19:37:55	We Must Respect the Other Fellow's Religion	H. L. Mencken	quotes/we-must-respect-the-other-fellows-religion.html	critical thinking, equality, religion	We must respect the other fellow's religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart.
Quotes	Quotation	2008-07-30 19:48:15	A book is a man's best friend	Groucho Marx	quotes/a-book-is-a-mans-best-friend.html	integral, written word	Outside of a dog, a book is a man's best friend. Inside of a dog, it's too dark to read.
Quotes	Quotation	2008-10-07 18:07:48	The Challenge of Swing	Wynton Marsalis	quotes/the-challenge-of-swing.html	connection, liberty	Swing--the dance and the music--bespeaks the flexible nature of American life. In jazz, the bass walks a note on every beat. The drummer rides the cymbal or plays brushes on every beat. And everybody else invents melodies and sounds that sway with, against, and upside every beat. Every beat requires musicians to reassess their relationships to one another. This is what makes swinging so challenging. You are forced to be constantly aware of other people's feelings.
Quotes	Quotation	2018-12-28 12:05:34	The economy is too important to leave to the economists	Yanis Varoufakis	quotes/the-economy-is-too-important-to-leave-to-the-economists.html	society	This book grew out of my Greek publisher's invitation, back in 2013, to talk directly to young people about the economy. My reason for writing it was the conviction that the economy is too important to leave to the economists. 
Quotes	Quotation	2011-04-22 06:08:09	The difference between construction and creation	G. K. Chesterton	quotes/the-difference-between-construction-and-creation.html	love	The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists, as the mother can love the unborn child. 
Quotes	Quotation	2008-06-01 10:06:31	The Columbia Disaster	Dennis Stauffer	quotes/the-columbia-disaster.html	critical thinking, equality	Dr. Sally Ride, the first American woman in space and a member of the investigating board, believes that the Columbia tragedy and the 1986 Challenger Space Shuttle disaster resulted from the same mindset, saying: '(NASA) managers...did not grab onto this problem and insist on an answer. It was really quite the opposite. They assumed they knew the answer. They assumed the foam was not going to be a problem. And they were insisting that people disprove the preconception they had.'
Quotes	Quotation	2018-11-15 16:24:42	Living with the strains of complexity	Daniel Patrick Moynihan	quotes/living-with-the-strains-of-complexity.html	governance	Political society wants things simple. Political scientists know them to be complex... One could argue that, in part, the leftist impulse is so conspicuous among the educated and well-to-do precisely because they are exposed to more information, and are accordingly forced to choose between living with the strains of complexity, or lapsing into simplism.
Quotes	Quotation	2016-11-28 08:47:42	From a biological perspective, nothing is unnatural	Yuval Noah Harari	quotes/from-a-biological-perspective-nothing-is-unnatural.html	cultural evolution	Culture tends to argue that it forbids only that which is unnatural. But from a biological perspective, nothing is unnatural. Whatever is possible is by definition also natural. A truly unnatural behaviour, one that goes against the laws of nature, simply cannot exist, so it would need no prohibition. No culture has ever bothered to forbid men to photosynthesise, women to run faster than the speed of light, or negatively charged electrons to be attracted to each other. In truth, our concepts 'natural' and ‘unnatural' are taken not from biology, but from Christian theology. The theological meaning of ‘natural' is ‘in accordance with the intentions of the God who created nature'. Christian theologians argued that God created the human body, intending each limb and organ to serve a particular purpose. If we use our limbs and organs for the purpose envisioned by God, then it is a natural activity. To use them differently than God intends is unnatural. But evolution has no purpose.
Quotes	Quotation	2018-10-26 10:56:02	Thinking should be generous and have a good appetite	Sarah Bakewell	quotes/thinking-should-be-generous-and-have-a-good-appetite.html	critical thinking	Thinking should be generous and have a good appetite. I find life far too valuable these days to shut out most of its variety in favour of digging down into the depths....
Quotes	Quotation	2018-01-16 08:09:27	Intelligence plus Character	Martin Luther King Jr.	quotes/intelligence-plus-character.html	education	We must remember that intelligence is not enough. Intelligence plus character -- that is the goal of true education. 
Quotes	Quotation	2007-12-02 13:10:14	A Long Conversation	Bruce Springsteen	quotes/a-long-conversation.html	art, connection	At this point, I'm in the middle of a very long conversation with my audience. It's an ongoing dialogue about what living means. You create a space together. You are involved in an act of the imagination together, imagining the life you want to live, the kind of country you want to live in, the kind of place you want to leave to your children. What are the things that bring you ecstasy and bliss, what are the things that bring on the darkness, and what can we do together to combat those things? That's the dialogue I have in my imagination when I'm writing. I have it in front of me when I'm performing.
Quotes	Quotation	2018-06-27 17:56:34	A diminishing sense of shared humanity	Brené Brown	quotes/a-diminishing-sense-of-shared-humanity.html	connection, love	In grounded theory, researchers try to understand what we call 'the main concern' of study participants. When it comes to belonging, I asked: What are people trying to achieve? What are they worried about? The answer was surprisingly complex. They want to be a part of something -- to experience real connection with others -- but not at the cost of their authenticity, freedom, or power. Participants further reported feeling surrounded by 'us versus them' cultures that create feelings of spiritual disconnection. When I dug deeper into what they meant by 'spiritually disconnected,' the research participants described a diminishing sense of shared humanity. Over and over, participants talked about their concern that the only thing that binds us together now is shared fear and disdain, not common humanity, shared trust, respect or love. 
Quotes	Quotation	2010-08-15 07:52:59	A Happy Man	Albert Einstein	quotes/a-happy-man.html	progress	A happy man is too satisfied with the present to dwell too much on the future.
Quotes	Quotation	2017-11-06 12:02:36	The brightest goat in the herd	Yuval Noah Harari	quotes/the-brightest-goat-in-the-herd.html	cultural evolution	As any farmer knows, it's usually the brightest goat in the herd that stirs up the most trouble, which is why the Agricultural Revolution involved downgrading animals' mental abilities. The second cognitive revolution, dreamed up by techno-humanists, might do the same to us, producing human cogs who communicate and process data far more effectively than ever before, but who can barely pay attention, dream or doubt. 
Quotes	Quotation	2011-12-03 08:28:38	Labor is the Superior of Capital	Abraham Lincoln	quotes/labor-is-the-superior-of-capital.html	governance, individuals, society	Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital, and deserves much the higher consideration. 
Quotes	Quotation	2008-08-04 21:12:04	Dreams Come True	John Updike	quotes/dreams-come-true.html	stories, wonder	Dreams come true. Without that possibility, nature would not incite us to have them.
Quotes	Quotation	2010-10-27 20:15:50	Violent Opposition from Mediocre Minds	Albert Einstein	quotes/violent-opposition-from-mediocre-minds.html	critical thinking, science	Great spirits have always encountered violent opposition from mediocre minds. The mediocre mind is incapable of understanding the man who refuses to bow blindly to conventional prejudices and chooses instead to express his opinions courageously and honestly.
Quotes	Quotation	2017-10-27 11:29:54	I'll take the big sordid dirty crooked city	Raymond Chandler	quotes/ill-take-the-big-sordid-dirty-crooked-city.html	cultural evolution, imperfection, society	The other part of me wanted to get out and stay out. But this was the part I never listened to. Because if I ever had I would have stayed in the town where I was born and worked in the hardware store and married the boss's daughter and had five kids and read them the funny paper on Sunday morning and smacked their heads when they got out of line and squabbled with the wife about how much spending money they were to get and what programs they could have on the radio or TV set. I might even have got rich -- small-town rich, an eight-room house, two cars in the garage, chicken every Sunday and the <em>Reader's Digest</em> on the living room table, the wife with a cast iron permanent and me with a brain like a sack of Portland cement. You take it, friend. I'll take the big sordid dirty crooked city. 
Quotes	Quotation	2011-04-22 06:09:00	Generosity Among the Rich	G. K. Chesterton	quotes/generosity-among-the-rich.html	connection	Among the rich you will never find a really generous man even by accident. They may give their money away, but they will never give themselves away; they are egotistic, secretive, dry as old bones. To be smart enough to get all that money you must be dull enough to want it. 
Quotes	Quotation	2018-05-27 07:35:51	Discoveries and Inventions	Abraham Lincoln	quotes/discoveries-and-inventions.html	science	Beavers build houses; but they build them in nowise differently, or better, now than they did five thousand years ago.... Man is not the only animal who labors; but he is the only one who improves his workmanship. These improvements he effects by Discoveries and Inventions. 
Quotes	Quotation	2007-09-29 07:47:36	Merely a Muddle	Michael Innes	quotes/merely-a-muddle.html	critical thinking	And your remarks on the text," Mr. Gott declared, "are merely a muddle. Yes, Gott," said Mike meekly. You see, Mike, you haven't any <em>brain</em> really. No, of course not," said Mike. You must just keep to the cackle and write nicely. You write very nicely. Yes," said Mike, dubiously. Keep off thinking things out, and you'll do well. In fact, you'll go far.
Quotes	Quotation	2006-11-30 14:29:31	Easy Solutions	H. L. Mencken	quotes/easy-solutions.html	critical thinking	There is always an easy solution to every human problem -- neat, plausible and wrong.
Quotes	Quotation	2017-03-18 09:20:32	A bicycle for our minds	Steve Jobs	quotes/a-bicycle-for-our-minds.html	tools	I read a study that measured the efficiency of locomotion for various species on the planet. The condor used the least energy to move a kilometer. Humans came in with a rather unimpressive showing about a third of the way down the list. It was not too proud of a showing for the Crown of Creation. That didn't look so good, but then someone at Scientific American had the insight to test the efficiency of locomotion for a man on a bicycle and a human on a bicycle blew the condor away. That's what a computer is to me: the computer is the most remarkable tool that we've ever come up with. It's the equivalent of a bicycle for our minds.
Quotes	Quotation	2014-10-31 19:17:06	To prolong our presence on the face of the Earth	Jonas Salk	quotes/to-prolong-our-presence-on-the-face-of-the-earth.html	critical thinking, humanism, mission	What we're doing now is trying to think like nature, in the sense that we are aware that species that have gone before us have disappeared from the face of the Earth. We'd like to use our intelligence and our creative capacity to prolong our presence on the face of the Earth as long as possible. It requires, therefore, that we develop the kinds of tactics and strategies amongst ourselves so as to assure that this can occur, to assure that we will not destroy ourselves or the planet, to make it uninhabitable and to allow the fullness of the potential of the individual to be expressed, to flower.
Quotes	Quotation	2019-01-27 09:28:11	If you'll just rattle your jewelry	John Lennon	quotes/if-youll-just-rattle-your-jewelry.html	equality, society	For our last number, I'd like to ask your help. Would the people in the cheaper seats clap your hands. And the rest of you, if you'll just rattle your jewelry.
Quotes	Quotation	2018-01-16 07:56:58	Intelligent guides of family planning	Martin Luther King Jr.	quotes/intelligent-guides-of-family-planning.html	population	For the Negro, therefore, intelligent guides of family planning are a profoundly important ingredient in his quest for security and a decent life. There are mountainous obstacles still separating Negroes from a normal existence. Yet one element in stabilizing his life would be an understanding of and easy access to the means to develop a family related in size to his community environment and to the income potential he can command. This is not to suggest that the Negro will solve all his problems through Planned Parenthood. His problems are far more complex, encompassing economic security, education, freedom from discrimination, decent housing and access to culture. Yet if family planning is sensible it can facilitate or at least not be an obstacle to the solution of the many profound problems that plague him.
Quotes	Quotation	2012-08-03 23:01:54	Ten Commandments for Teachers	Bertrand Russell	quotes/ten-commandments-for-teachers.html	critical thinking, diversity, education, liberty	1. Do not feel absolutely certain of anything. 2. Do not think it worth while to proceed by concealing evidence, for the evidence is sure to come to light. 3. Never try to discourage thinking for you are sure to succeed. 4. When you meet with opposition, even if it should be from your husband or your children, endeavour to overcome it by argument and not by authority, for a victory dependent upon authority is unreal and illusory. 5. Have no respect for the authority of others, for there are always contrary authorities to be found. 6. Do not use power to suppress opinions you think pernicious, for if you do the opinions will suppress you. 7. Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric. 8. Find more pleasure in intelligent dissent that in passive agreement, for, if you value intelligence as you should, the former implies a deeper agreement than the latter. 9. Be scrupulously truthful, even if the truth is inconvenient, for it is more inconvenient when you try to conceal it. 10. Do not feel envious of the happiness of those who live in a fool's paradise, for only a fool will think that it is happiness.
Quotes	Quotation	2008-10-19 09:28:50	Levels of Development	Ken Wilber	quotes/levels-of-development.html	cultural evolution	To grasp what is involved with levels or stages, let's use a very simple model possessing only 3 of them. If we look at moral development, for example, we find that an infant at birth has not yet been socialized into the culture's ethics and conventions: this is called the <strong>preconventional stage</strong>. It is also called <strong>egocentric</strong>, in that the infant's awareness is largely self-absorbed. But as the young child begins to learns its culture's rules and norms, it grows into the <strong>conventional stage</strong> of morals. This stage is also called <strong>ethnocentric</strong>, in that it centers on the child's particular group, tribe, clan, or nation, and it therefore tends to exclude those not of its group. But at the next major stage of moral development, the <strong>postconventional stage</strong>, the individual's identity expands once again, this time to include a care and concern for all peoples, regardless of race, color, sex or creed, which is why this stage is also called <strong>worldcentric</strong>. Thus, moral development tends to move from 'me' (egocentric) to 'us' (ethnocentric) to 'all of us' (worldcentric)--a good example of the unfolding waves of consciousness.
Quotes	Quotation	2018-01-16 08:02:13	An ordinary person, doing an ordinary job	Martin Luther King Jr.	quotes/an-ordinary-person-doing-an-ordinary-job.html	individuals	I don't want you to forget it. No matter where you are today, somebody helped you to get there. (Yes) It may have been an ordinary person, doing an ordinary job in an extraordinary way. Some few are able to get some education; you didn't get it by yourself. Don't forget those who helped you come over.
Quotes	Quotation	2018-04-09 16:39:21	The only sensible procedure for a critic	W.H. Auden	quotes/the-only-sensible-procedure-for-a-critic.html	art	The only sensible procedure for a critic is to keep silent about works which he believes to be bad, while at the same time vigorously campaigning for those which he believes to be good, especially if they are being neglected or underestimated by the public.
Quotes	Quotation	2018-05-29 15:10:51	Life is more like settling a sequence of villages	David Brooks	quotes/life-is-more-like-settling-a-sequence-of-villages.html	connection	Life is not really an individual journey. Life is more like settling a sequence of villages. You help build a community at home, at work, in your town and then you go off and settle more villages.
Quotes	Quotation	2006-11-30 14:29:32	Belief in Impossible Things	Tom DeMarco and Timothy Lister	quotes/belief-in-impossible-things.html	critical thinking	There is probably no job on earth for which an ability to believe six impossible things before breakfast is more of a requirement than software project management. We are routinely expected to work ourselves into a state of believing in a deadline, a budget, or a performance factor that time subsequently may prove to be impossible.
Quotes	Quotation	2011-04-22 06:11:48	The cause which is blocking all progress	G. K. Chesterton	quotes/the-cause-which-is-blocking-all-progress.html	love, progress	The cause which is blocking all progress today is the subtle scepticism which whispers in a million ears that things are not good enough to be worth improving. If the world is good we are revolutionaries, if the world is evil we must be conservatives. These essays, futile as they are considered as serious literature, are yet ethically sincere, since they seek to remind men that things must be loved first and improved afterwards. 
Quotes	Quotation	2010-02-27 12:42:19	Relieving Ignorance	Matthew Stewart	quotes/relieving-ignorance.html	education	Customer satisfaction is a good way to sell shoes; but it is a bad way to relieve ignorance. It is fundamentally stupid to base the content of an education on what the as-yet uneducated person decides is best.
Quotes	Quotation	2006-11-30 14:29:31	The Art of Progress	Alfred North Whitehead	quotes/the-art-of-progress.html	progress	The art of progress is to preserve order amid change, and to preserve change amid order.
Quotes	Quotation	2008-07-13 08:55:57	The Supreme Goal of All Theory	Albert Einstein	quotes/the-supreme-goal-of-all-theory.html	science	...the supreme goal of all theory is to make the irreducible basic elements as simple and as few as possible without having to surrender the adequate representation of a single datum of experience.
Quotes	Quotation	2014-03-23 15:19:09	The Golden Eternity	Jack Kerouac	quotes/the-golden-eternity.html	wonder	I have lots of things to teach you now, in case we ever meet, concerning the message that was transmitted to me under a pine tree in North Carolina on a cold winter moonlit night. It said that Nothing Ever Happened, so don't worry. It's all like a dream. Everything is ecstasy, inside. We just don't know it because of our thinking-minds. But in our true blissful essence of mind is known that everything is alright forever and forever and forever. Close your eyes, let your hands and nerve-ends drop, stop breathing for 3 seconds, listen to the silence inside the illusion of the world, and you will remember the lesson you forgot, which was taught in immense milky way soft cloud innumerable worlds long ago and not even at all. It is all one vast awakened thing. I call it the golden eternity. It is perfect.
Quotes	Quotation	2014-07-20 07:26:46	The Web of Life	Ted Perry	quotes/the-web-of-life.html	connection	Humankind has not woven the web of life. We are but one thread within it. Whatever we do to the web, we do to ourselves. All things are bound together. All things connect.
Quotes	Quotation	2017-02-21 10:57:26	The US remains astonishingly backward when it comes to education	Anu Partanen	quotes/the-us-remains-astonishingly-backward-when-it-comes-to-education.html	education, equality	It's an unfortunate fact that the United States remains astonishingly backward compared to almost all other advanced Western countries when it comes to education, because in America, what predicts how well a child will do in school is not a child's aptitude or hard work, but the status of the child's parents -- which is to say, their own levels of education and wealth. Other countries suffer from this condition too, but the United States is especially anachronistic. And it's getting worse: The influence of this wealth predictor in the United States today has only been growing stronger in recent years. 
Quotes	Quotation	2016-11-05 10:06:49	No single natural way of life for Sapiens	Yuval Noah Harari	quotes/no-single-natural-way-of-life-for-sapiens.html	cultural evolution	The Heated debates about <em>Homo sapiens</em>' 'natural way of life' miss the main point. Ever since the Cognitive Revolution, there hasn't been a single natural way of life for Sapiens. There are only cultural choices, from among a bewildering palette of possibilities. 
Quotes	Quotation	2018-10-26 10:36:46	Struggling against irrelevance	Yuval Noah Harari	quotes/struggling-against-irrelevance.html	democracy	Brexit and the rise of Trump might therefore demonstrate a trajectory opposite to that of traditional socialist revolutions. The Russian, Chinese and Cuban revolutions were made by people who were vital to the economy but who lacked political power; in 2016, Trump and Brexit were supported by many people who still enjoyed political power but who feared they were losing their economic worth. Perhaps in the twenty-first century populist revolts will be staged not against an economic elite that exploits people but against an economic elite that does not need them anymore. This may well be a losing battle. It is much harder to struggle against irrelevance than against exploitation. 
Quotes	Quotation	2006-11-30 14:29:31	Entertain a Thought	Aristotle	quotes/entertain-a-thought.html	critical thinking	It is the mark of an educated mind to be able to entertain a thought without accepting it.
Quotes	Quotation	2011-04-22 06:14:33	Taking a Fence Down	G. K. Chesterton	quotes/taking-a-fence-down.html	critical thinking, governance, progress	In the matter of reforming things, as distinct from deforming them, there is one plain and simple principle; a principle which will probably be called a paradox. There exists in such a case a certain institution or law; let us say, for the sake of simplicity, a fence or gate erected across a road. The more modern type of reformer goes gaily up to it and says, I don't see the use of this; let us clear it away. To which the more intelligent type of reformer will do well to answer: If you don't see the use of it, I certainly won't let you clear it away. Go away and think. Then, when you can come back and tell me that you do see the use of it, I may allow you to destroy it. 
Quotes	Quotation	2018-04-12 15:32:29	An edifice which produces beggars needs restructuring	Martin Luther King Jr.	quotes/an-edifice-which-produces-beggars-needs-restructuring.html	systemic	True compassion is more than flinging a coin to a beggar. It understands that an edifice which produces beggars needs restructuring.
Quotes	Quotation	2010-10-26 20:07:27	A Planet-Sized Problem	E. O. Wilson	quotes/a-planet-sized-problem.html	sustainability	Few will doubt that humankind has created a planet-sized problem for itself. No one wished it so, but we are the first species to become a geophysical force, altering Earth's climate, a role previously reserved for tectonics, sun flares, and glacial cycles. We are also the greatest destroyer of life since the ten-kilometer-wide meteorite that landed near Yucatan and ended the Age of Reptiles sixty-five million years ago. Through overpopulation we have put ourselves in danger of running out of food and water. So a very Faustian choice is upon us: whether to accept our corrosive and risky behavior as the unavoidable price of population and economic growth, or to take stock of ourselves and search for a new environmental ethic. 
Quotes	Quotation	2018-11-22 11:37:59	This strange hankering for play and surprise	Steven Johnson	quotes/this-strange-hankering-for-play-and-surprise.html	wonder	That exploratory, expansive drive is what separates delight from demand: when we are in play mode, we are open to new surprises, while our base appetites focus the mind on the urgent needs of staying alive. Understanding that distinction is critical to understanding why play -- despite its seemingly frivolous veneer -- has led to so many important discoveries and innovations. The question of why the *Home sapiens* brain possesses this strange hankering for play and surprise is a fascinating one....
Quotes	Quotation	2018-11-07 11:54:03	While he was focusing on the inner self, his outer world has gone to pot	Clare W. Graves	quotes/while-he-was-focusing-on-the-inner-self-his-outer-world-has-gone-to-pot.html	mission	At the personalistic level (F-S), man becomes centrally concerned with peace with his inner self and in the relation of his self to the inner self of others. He becomes concerned with belonging, with being accepted, with knowing the inner side of self and other selves so harmony can come to be, so people as individuals can be at peace with themselves and thus with the world. And when he achieves this, he finds he must become concerned with more than self or other selves, because while he was focusing on the inner self to the exclusion of the external world, his outer world has gone to pot. So how he turns outward to life and to the whole, the total universe. As he does so he begins to see the problems of restoring the balance of life which has been torn asunder by his individualistically oriented, self-seeking climb up the first ladder of existence.
Quotes	Quotation	2018-11-15 16:24:42	It's sports and it's all love	Moritz Wagner	quotes/its-sports-and-its-all-love.html	love	At the end of the day, it's sports, and it's all love. I feel for both sides. -- Commenting on stopping on the court after a game to console Devin Davis, an opponent who was sobbing on the court, despondent over missing two crucual free throws. 
Quotes	Quotation	2017-01-13 12:07:08	A Meaningful Life	Yuval Noah Harari	quotes/a-meaningful-life.html	mission	As Nietzsche put it, if you have a why to live, you can bear almost any how. A meaningful life can be extremely satisfying even in the midst of hardship, whereas a meaningless life is a terrible ordeal no matter how comfortable it is.
Quotes	Quotation	2017-07-18 08:46:36	Hands that must work	Lauretta Bender	quotes/hands-that-must-work.html	education	We have hands that must work, brains that must think, and personalities that must be developed.
Quotes	Quotation	2017-02-05 09:34:38	The point of modern propaganda	Garry Kasparov	quotes/the-point-of-modern-propaganda.html	critical thinking	The point of modern propaganda isn't only to misinform or push an agenda. It is to exhaust your critical thinking, to annihilate truth.
Quotes	Quotation	2007-11-06 07:00:58	The Four-Fold Way	Angeles Arrien	quotes/the-four-fold-way.html	critical thinking, love	The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: 1. <em>Show up, or choose to be present.</em> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. 2. <em>Pay attention to what has heart and meaning.</em> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. 3. <em>Tell the truth without blame or judgment.</em> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. 4. <em>Be open to outcome, not attached to outcome.</em> Openness and nonattachment help us to recover the human resources of wisdom and objectivity. This is the way of the Teacher.
Quotes	Quotation	2017-12-05 09:18:13	Wonderment is the first passion of all	René Descartes	quotes/wonderment-is-the-first-passion-of-all.html	wonder	When our first encounter with some object takes us by surprise, and we judge it to be new, or very different from what we have previously experienced or from what we expected it to be, this causes us to wonder at it and be astonished. And because this can happen before we have any knowledge of whether the thing is beneficial to us or not, it seems to me that wonderment is the first passion of all. And it has no contrary, because, if the object that presents itself has nothing in itself to surprise us, we are not moved by it in any way and we consider it without any passion.
Quotes	Quotation	2010-03-10 06:39:13	A mind is blown	Michael Chabon	quotes/a-mind-is-blown.html	wonder	A mind is blown when something you always feared but knew to be impossible turns out to be true; when the world turns out far vaster, far more marvelous or malevolent than you ever dreamed; when you get proof that everything is connected to everything else, that everything you know is wrong, that you are both the center of the universe and a tiny speck sailing off its nethermost edge.
Quotes	Quotation	2006-11-30 14:29:31	The Discomfort of Thought	John F. Kennedy	quotes/the-discomfort-of-thought.html	critical thinking, cultural evolution	As every past generation has had to disenthrall itself from an inheritance of truisms and stereotypes, so in our own time we must move on from the reassuring repetition of stale phrases to a new, difficult, but essential confrontation with reality. For the great enemy of truth is very often not the lie -- deliberate, contrived and dishonest -- but the myth -- persistent, persuasive, and unrealistic. Too often we hold fast to the clichés of our forebears. We subject all facts to a prefabricated set of interpretations. We enjoy the comfort of opinion without the discomfort of thought.
Quotes	Quotation	2016-12-03 10:22:36	Authentic cultures	Yuval Noah Harari	quotes/authentic-cultures.html	cultural evolution	We still talk a lot about ‘authentic' cultures, but if by ‘authentic' we mean something that developed independently, and that consists of ancient local traditions free of external influences, then there are no authentic cultures left on earth. Over the last few centuries, all cultures were changed almost beyond recognition by a flood of global influences.
Quotes	Quotation	2012-01-19 13:34:08	Introduction of a new order of things	Niccolò Machiavelli	quotes/introduction-of-a-new-order-of-things.html	progress	And it ought to be remembered that there is nothing more difficult to take in hand, more perilous to conduct, or more uncertain in its success, than to take the lead in the introduction of a new order of things. Because the innovator has for enemies all those who have done well under the old conditions, and lukewarm defenders in those who may do well under the new. This coolness arises partly from fear of the opponents, who have the laws on their side, and partly from the incredulity of men, who do not readily believe in new things until they have had a long experience of them. 
Quotes	Quotation	2018-11-15 16:24:42	The divine literatus	Walt Whitman	quotes/the-divine-literatus.html	art	View'd, to-day, from a point of view sufficiently over-arching, the problem of humanity all over the civilized world is social and religious, and is to be finally met and treated by literature. The priest departs, the divine literatus comes. Never was anything more wanted than, to-day, and here in the States, the poet of the modern is wanted, or the great literatus of the modern.
Quotes	Quotation	2017-11-06 12:00:55	Fear of Missing Out	Yuval Noah Harari	quotes/fear-of-missing-out.html	cultural evolution	Modern humanity is sick with FOMO -- Fear of Missing Out -- and though we have more choice than ever before, we have lost the ability to really pay attention to whatever we choose.
Quotes	Quotation	2008-10-20 13:28:13	Inextricably Linked in Freedom	Wynton Marsalis	quotes/inextricably-linked-in-freedom.html	cultural evolution, liberty	The originators of jazz were only two generations removed from slavery. They were victims of rigorous forms of segregation that routinely and institutionally denied their humanity. So freedom was much more than a word to them. These pioneering musicians were exuberant about exhibiting this newfound personal freedom through their art. But they were also excited about hearing other people do the same thing. They understood that all were inextricably linked in freedom, just as they had been inextricably linked in bondage. And it wasn't theory; it was life as they lived it.
Quotes	Quotation	2016-12-04 10:36:02	Cultures as a kind of mental infection	Yuval Noah Harari	quotes/cultures-as-a-kind-of-mental-infection.html	cultural evolution	Ever more scholars see cultures as a kind of mental infection or parasite, with humans as its unwitting host. Organic parasites, such as viruses, live inside the body of their hosts. They multiply and spread from one host to the other, feeding off their hosts, weakening them, and sometimes even killing them. As long as the hosts live long enough to pass along the parasite, it cares little about the condition of its host. In just this fashion, cultural ideas live inside the minds of humans. They multiply and spread from one host to another, occasionally weakening the hosts and sometimes even killing them. A cultural idea -- such as belief in Christian heaven above the clouds or Communist paradise here on earth -- can compel a human to dedicate his or her life to spreading that idea, even at the price of death. The human dies, but the idea spreads. According to this approach, cultures are not conspiracies concocted by some people in order to take advantage of others (as Marxists tend to think). Rather, cultures are mental parasites that emerge accidentally, and thereafter take advantage of all people infected by them.
Quotes	Quotation	2012-04-22 14:57:41	Good Management is Like The Beatles	Steve Jobs	quotes/good-management-is-like-the-beatles.html	connection, equality	My model of management is the Beatles. The reason I say that is because each of the key people in the Beatles kept the others from going off in the directions of their bad tendencies. They sort of kept each other in check. And then when they split up, they never did anything as good. It was the chemistry of a small group of people, and that chemistry was greater than the sum of the parts. 
Quotes	Quotation	2006-11-30 14:29:31	Climate Changers	John Guillebaud	quotes/climate-changers.html	sustainability	We urgently need to stabilise and reduce human numbers. There is no way that a population of nine billion -- the UN's medium forecast for 2050 -- can meet its energy needs without unacceptable damage to the planet and a great deal of human misery. We need to think about climate changers -- human beings and their numbers -- as well as climate change. It is the elephant in the room that nobody wants to talk about. Unless we reduce the human population humanely through family planning, nature will do it for us through violence, epidemics or starvation.
Quotes	Quotation	2007-10-08 19:33:03	Chimps and Humans	Carl Sagan and Ann Druyan	quotes/chimps-and-humans.html	humanism, science	On the basis of all the evidence, the closest relative of the human proves to be the chimp. The closest relative of the chimp is the human. Not orangs, but people. Us. Chimps and humans are nearer kin than are chimps and gorillas or any other kinds of ape not of the same species.
